feature,importance
MonthlyIncome,0.08184797506574461
Age,0.07033683558561987
DailyRate,0.0675383004745792
EmployeeNumber,0.0636947528742169
MonthlyRate,0.05918940309851167
HourlyRate,0.05705324895422038
TotalWorkingYears,0.056323217091092184
DistanceFromHome,0.055235417152333245
NumCompaniesWorked,0.043819723938488236
YearsAtCompany,0.042486844646789645
PercentSalaryHike,0.04119242956785968
StockOptionLevel,0.037119920856031656
YearsWithCurrManager,0.03611988320141693
EnvironmentSatisfaction,0.03557250776545994
JobInvolvement,0.03132711375227439
JobSatisfaction,0.030829621877371247
YearsSinceLastPromotion,0.03059373734176598
TrainingTimesLastYear,0.030429758428218802
WorkLifeBalance,0.027120052830723815
YearsInCurrentRole,0.02658824853998246
RelationshipSatisfaction,0.02551436402461573
Education,0.02382581635446036
JobLevel,0.021487189750389636
PerformanceRating,0.004753636827833453
EmployeeCount,0.0
StandardHours,0.0
